有名な, ゆうめいな, 유명한
政治家, せいじか, 정치가
讃えて, たたえて, 기려서
銅像, どうぞう, 동상
造られた, つくられた, 세워졌다
我が社は, わがしゃは, 우리회사는
オリンピックに, おりんぴっくに, 올림픽에
合わせて, あわせて, 맞춰서
新製品, しんせいひん, 신제품
開発, かいはつ, 개발
今年, ことし, 올해
新入生, しんにゅうせい, 신입생
個性の強い, こせいのつよい, 개성이강한
学生たち, がくせいたち, 학생들
ばかりだ, ばかりだ, 뿐이다
言語学研究, げんごがくけんきゅう, 언어학연구
大きな成果, おおきなせいか, 큰성과
収めた, おさめた, 거두었다
歌, うた, 노래
世代, せだい, 세대
超えて, こえて, 넘어서
誰からも, だれからも, 누구에게나
愛され, あいされ, 사랑받아
学部で, がくぶで, 학부에서
現代文学, げんだいぶんがく, 현대문학
学びました, まなびました, 배웠습니다
大学院, だいがくいん, 대학원
古典文学, こてんぶんがく, 고전문학
研究する, けんきゅうする, 연구하다
高校, こうこう, 고교
2年生から, にねんせいから, 2학년부터
文系, ぶんけい, 문과
理系, りけい, 이과
分かれます, わかれます, 나누어집니다
酒造りに, さけづくりに, 주조에
様々な, さまざまな, 이런저런
微生物, びせいぶつ, 미생물
利用, りよう, 이용 
人々, ひとびと, 여러사람
予想, よそう, 예상
反して, はんして, 반해
そのチーム, そのちーむ, 그팀
試合, しあい, 시합
負けてしまった, まけてしまった, 지고말았다
古いビル, ふるいびる, 오래된빌딩
明治時代, めいじじだい, 메이지시대
感じさせる, かんじさせる, 느끼게하는
貴重, きちょう, 귀중
