讃えて, たたえて, 기려서
携帯, けいたい, 휴대
電話, でんわ, 전화
携帯電話, けいたいでんわ, 휴대전화
通話以外, つうわいがい, 통화이외
機能, きのう, 기능
沢山, たくさん, 많이
付いている, ついている, 붙어있다
生まれた, うまれた, 태어났다
乳児, にゅうじ, 유아
大人, おとな, 어른
愛情, あいじょう, 애정
必要だ, ひつようだ, 필요하다
事故, じこ, 사고
防止, ぼうし, 방지
事故防止, じこぼうし, 사고방지
原因, げんいん, 원인
事故の原因, じこのげんいん, 사고의원인
把握する, はあくする, 파악하다
始まる, はじまる, 시작하다
新しい, あたらしい, 새로운
プロジェクト, ぷろじぇくと, 프로젝트
5年分の年次計画, ごねんぶんのねんじけいかく, 5년분의연간계획
年次計画, ねんじけいかく, 연간계획
年次, ねんじ, 연간
立てられた, たてられた, 세워졌다
部下から, ぶかから, 부하로부터
結婚, けっこん, 결혼
結婚式, けっこんしき, 결혼식
スピーチを頼まれた, すぴーちをたのまれた, 스피치를부탁받았다
頼む, たのむ, 부탁하다
金融, きんゆう, 금융
市場, しじょう, 시장
世界, せかい, 세계
経済, けいざい, 경제
影響, えいきょう, 영향
影響を強く受ける, えいきょうをつよくうける, 영향을강하게받다
受ける, うける, 받다
家庭で, かていで, 가정에
使った, つかった, 썼다
水が池に, みずがいけに, 물이연못에
溜まって, たまって, 모여서
悪臭が, あくしゅうが, 악취가
漂っている, ただよっている, 감돌고있다
怪談, かいだん, 괴담
お化け, おばけ, 귀신
恐ろしいもの, おそろしいもの, 무서운것
出てくる, でてくる, 나온다
聞くと, きくと, 들으면
夏でも, なつでも, 여름에도
涼しくなる, すずしくなる, 시원해진다
お婆さん, おばあさん, 할머니
バスに乗ろうとしたら, ばすにのろうとしたら, 버스에탈려고했는데
若者が, わかものが, 젊은이가
優しく, やさしく, 친절하게
手を差し出した, てをさしだした, 손을내밀었다
選挙, せんきょ, 선거
出来るだけ, できるだけ, 가능한
投票, とうひょう, 투표
行きましょう, いきましょう, 갑시다
