悪臭が, あくしゅうが, 악취가
恐ろしいもの, おそろしいもの, 무서운것
お婆さん, おばあさん, 할머니
投票, とうひょう, 투표
私の気持ち, わたしのきもち, 내기분
察して下さい, さっしてください, 헤아려주세요
佐藤さん, さとうさん, 사토씨
文学部に在籍し, ぶんがくぶにざいせきし, 문학부에재직해
現代小説, げんだいしょうせつ, 현대소설
研究している, けんきゅうしている, 연구하고있다
景気を探る, けいきをさぐる, 경기를살피다
お金の動き, おかねのうごき, 돈의움직임
示す数値, しめすすうち, 나타내는수치
目安になる, めやすになる, 기준이된다.
掃除の序に, そうじのついでに, 청소하는김에
家具の配置, かぐのはいち, 가구배치
変えました, かえました, 바꿨습니다
人気商品, にんきしょうひん, 인기상품
飛ぶように売れて, とぶようにうれて, 날개돋힌듯팔려서
会社の利益, かいしゃのりえき, 회사의이익
拡大した, かくだいした, 확대됐다
事件が発生した, じけんがはっせいした, 사건이발생했다
昨日の深夜, きのうのしんや, 어젯밤늦은시간
調べて, しらべて, 조사해서
後ほど, のちほど, 나중에
ご連絡致します, ごれんらくいたします, 연락드립니다
私達は, わたしたちは, 우리들은
自然の大切さ, しぜんのたいせつさ, 자연의소중함
改めて認識した, あらためてにんしきした, 다시한번인식했다
東大阪市, ひがしおおさかし, 동오사카시
高い技術, たかいぎじゅつ, 높은기술
持った, もった, 가진
工場, こうじょう, 공장
時計, どけい, 시계
仕組み, しくみ, 구조
複雑, ふくざつ, 복잡
多くの部品, おおくのぶひん, 많은부품
