示す数値, しめすすうち, 나타내는수치
文学部に在籍し, ぶんがくぶにざいせきし, 문학부에재직해
お正月, おしょうがつ, 새해
5千円相当, ５せんえんそうとう, 5천엔상당
福袋を買った, ふくぶくろをかった, 복주머니를샀다
操作が分からない, そうさがわからない, 작동법을몰라
マニュアルを見て, まにゅあるをみて, 메뉴을을봐서
街の中心に, まちのちゅうしんに, 마을의중심에
商店の売り上げ, しょうてんのうりあげ, 상점의매출
郊外, こうがい, 교외
大型店, おおがたてん, 대형점
押され, おされ, 밀리다
気味だ, ぎみだ, 경향이다
困った事態, こまったじたい, 곤란한사태
夢にも思わなかった, ゆめにもおもわなかった, 꿈에도생각못했다
皆で頑張ったお陰で, みんなでがんばったおかげで, 다같이힘낸덕에
今月の売り上げ, こんげつのうりあげ, 이달의매출
目標を達成する, もくひょうをたっせいする, 목표를달성하다
業績が上がった, ぎょうせきがあがった, 업적이올랐다
長距離, ちょうきょり, 장거리
走る列車, はしるれっしゃ, 달리는여러차
食堂車もあり, しょくどうしゃもあり, 식당차가있어
楽しい旅, たのしいたび, 즐거운여행
約束, やくそく, 약속
彼女, かのじょ, 그녀
子供の頃, こどものころ, 어릴때
不思議な体験, ふしぎなたいけん, 신기한체험
ついて語った, ついてかたった, 관해서말했다
毎朝, まいあさ, 매일아침
家事をきちっとしてから, かじをきちっとしてから, 가사를깔끔하게하고서
会社に行く, かいしゃにいく, 회사에가다
犬は昔から, いぬはむかしから, 개는예전부터
人間に忠実な, にんげんにちゅうじつな, 인간에게충실한
動物だった, どうぶつだった, 동물이었다
