ぶりっ子って言われたい　ぶりっこっていわれたい　공주병
逃げたい　にげたい
弱音を吐いちゃダメよ　よわねをはいちゃだめよ
逃げたら何も始まらない　にげたらなにもはじまらない
初めまして　はじめまして
変わりたいんでしょ　かわりたいんでしょ
チャンスが巡ってきたのよ　ちゃんすがめぐってきたのよ
見せてやりなさい　みせてやりなさい
当然でしょ私の親友だもの　とうぜんでしょわたしのしんゆうだもの
思い切り踊ってきなさい　おもいきりおどってきなさい
ダンス王女　だんすおうじょ
皆に見せつけてやる　みんなにみせつけてやる
そろそろ切るわよ　そろそろきるわよ
代表でラップすることになった　だいひょうでらっぷすることになった
じゃあね　じゃあね
字幕　じまく
組み合わせる　くみあわせる
合成　ごうせい
競争　きょうそう
私だって痩せたら　わたしだってやせたら
見納めをしなくちゃ　みおさめをしなくちゃ
未だに いまだに
配達営業所預かり　はいたつえいぎょうしょあずかり
預かり　あずかり
譲り合って　ゆずりあって
マイナス　まいなす
イオン　いおん
ヒアルロン酸 ひあるろんさん
純正　じゅんせい
お取り寄せ　おとりよせ　선주문
円錐曲線　えんすいきょくせん
手厚い延長保証　てあついちょうきほしょう
商い中　あきないちゅう　영업중
支度中　したくちゅう　준비중
親権者同意　しんけんしゃどうい
目頭　めがしら
目尻　めじり
輪郭　りんかく
脂肪しぼう
注入　ちゅうにゅう
むくみます　むくみます
炎症　えんしょう
出血　しゅっけつ
見納め　みおさめ
勇敢　ゆうかん
被害　ひがい
減量　げんりょう
覚悟　かくご
成績　せいせき
結果　けっか
受験　じゅけん
親友　しんゆう
歓迎会　かんげいかい
現役　げんえき
挫折　ざせつ
無駄　むだ
贔屓　ひいき
性格　せいかく
世辞　せじ
芸能　げいのう
詐欺　さぎ
憧れる　あこがれる
懐かしい　なつかしい
妙なふいんきだけど　みょうなふいんきだけど
慣れる　なれる
惚れる　ほれる
